1931,8,20,Asama,Honshu-Japan,Japan,Complex volcano
1932,1,21,Fuego,Guatemala,Guatemala,Stratovolcano
1932,2,nan,Merapi,Java,Indonesia,Stratovolcano
1932,10,1,Kusatsu-Shirane,Honshu-Japan,Japan,Stratovolcano
1933,1,8,Kharimkotan,Kuril Is,Russia,Stratovolcano
1933,5,10,Hakone,Honshu-Japan,Japan,Complex volcano
1933,12,24,Kuchinoerabu-jima,Ryukyu Is,Japan,Stratovolcano
1933,12,25,Bulusan,Luzon-Philippines,Philippines,Stratovolcano
1934,nan,nan,Hood,US-Oregon,United States,Stratovolcano
1936,2,nan,Asama,Honshu-Japan,Japan,Complex volcano
1937,2,9,Llaima,Chile-C,Chile,Stratovolcano
1937,5,29,Rabaul,New Britain-SW Pac,Papua New Guinea,Pyroclastic shield
1938,1,28,Nyamuragira,Africa-C,"Congo, DRC",Shield volcano
1938,5,9,Bandai,Honshu-Japan,Japan,Stratovolcano
1938,6,5,Mayon,Luzon-Philippines,Philippines,Stratovolcano
1938,7,16,Asama,Honshu-Japan,Japan,Complex volcano
1939,7,24,Kick-'em-Jenny,W Indies,Netherlands,Submarine volcano
1939,8,17,Tori-shima,Izu Is-Japan,Japan,Stratovolcano
1939,10,13,Dieng Volc Complex,Java,Indonesia,Complex volcano
1940,6,20,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano
1940,7,12,Miyake-jima,Izu Is-Japan,Japan,Stratovolcano
1940,7,24,"Lengai, Ol Doinyo",Africa-E,Tanzania,Stratovolcano
1941,7,13,Asama,Honshu-Japan,Japan,Complex volcano
1941,9,21,Semeru,Java,Indonesia,Stratovolcano
1943,2,20,Michoacan-Guanajuato,Mexico,Mexico,Cinder cone
1943,4,13,"Azul, Cerro",Galapagos,Ecuador,Shield volcano
1944,3,27,Vesuvius,Italy,Italy,Complex volcano
1944,6,10,Cleveland,Aleutian Is,United States,Stratovolcano
1944,6,23,Usu,Hokkaido-Japan,Japan,Stratovolcano
1944,8,20,Stromboli,Italy,Italy,Stratovolcano
1944,8,26,Usu,Hokkaido-Japan,Japan,Stratovolcano
1944,12,4,Dieng Volc Complex,Java,Indonesia,Complex volcano
1946,1,nan,Sakura-jima,Kyushu-Japan,Japan,Stratovolcano
1946,2,nan,Semeru,Java,Indonesia,Stratovolcano
1946,10,29,Semeru,Java,Indonesia,Stratovolcano
1946,11,13,Sarychev Peak,Kuril Is,Russia,Stratovolcano
1947,1,7,Mayon,Luzon-Philippines,Philippines,Stratovolcano
1947,7,6,Asama,Honshu-Japan,Japan,Complex volcano
1947,9,16,Akagi,Honshu-Japan,Japan,Stratovolcano
1947,11,2,Hekla,Iceland-S,Iceland,Stratovolcano
1948,4,7,Iliwerung,Lesser Sunda Is,Indonesia,Complex volcano
1949,1,1,Villarrica,Chile-C,Chile,Stratovolcano
1949,5,26,Purace,Colombia,Colombia,Stratovolcano
1949,6,nan,Camiguin,Mindanao-Philippines,Philippines,Stratovolcano
1950,8,28,Semeru,Java,Indonesia,Stratovolcano
1950,9,15,Camiguin,Mindanao-Philippines,Philippines,Stratovolcano
1950,9,23,Asama,Honshu-Japan,Japan,Complex volcano
1951,1,21,Lamington,New Guinea,Papua New Guinea,Stratovolcano
1951,8,3,Cosiguina,Nicaragua,Nicaragua,Stratovolcano
1951,8,31,Kelut,Java,Indonesia,Stratovolcano
1951,11,5,Hakone,Honshu-Japan,Japan,Complex volcano
1951,12,4,Camiguin,Mindanao-Philippines,Philippines,Stratovolcano
1951,nan,nan,Kavachi,Solomon Is-SW Pacifi,Solomon Is.,Submarine volcano
1952,3,27,Hakone,Honshu-Japan,Japan,Complex volcano
1952,9,16,Myojun Knoll,Izu Is-Japan,Japan,Submarine volcano
1952,9,23,Myojun Knoll,Izu Is-Japan,Japan,Submarine volcano
1952,9,24,Myojun Knoll,Izu Is-Japan,Japan,Submarine volcano
1952,9,26,Myojun Knoll,Izu Is-Japan,Japan,Submarine volcano
1952,nan,nan,Ambalatungan Group,Luzon-Philippines,Philippines,Compound volcano
1953,3,11,Myojun Knoll,Izu Is-Japan,Japan,Submarine volcano
1953,3,23,Merapi,Java,Indonesia,Stratovolcano
1953,3,25,Myojun Knoll,Izu Is-Japan,Japan,Submarine volcano
1953,4,27,Aso,Kyushu-Japan,Japan,Caldera
1953,6,27,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,Complex volcano
1953,6,nan,Sirung,Lesser Sunda Is,Indonesia,Complex volcano
1953,7,26,Hakone,Honshu-Japan,Japan,Complex volcano
