1,1953,Tornado,GA
2,1953,Tornado,TX
3,1953,Flood,LA
4,1953,Tornado,MI
5,1953,Flood,MT
6,1953,Tornado,MI
7,1953,Tornado,MA
8,1953,Flood,IA
9,1953,Flood,TX
11,1953,Fire,NH
12,1954,Flood,FL
14,1954,Tornado,MS
15,1954,Flood,CA
16,1954,Tornado,GA
17,1954,Flood,IA
18,1954,Flood,TX
20,1954,Flood,SD
21,1954,Flood,WV
22,1954,Hurricane,MA
23,1954,Hurricane,RI
24,1954,Hurricane,ME
25,1954,Hurricane,CT
26,1955,Hurricane,NY
27,1955,Flood,NM
28,1955,Hurricane,NC
29,1955,Hurricane,SC
30,1955,Flood,IN
33,1955,Flood,CO
34,1955,Tornado,KS
35,1955,Flood,OK
36,1955,Flood,NV
37,1955,Hurricane,NC
38,1955,Flood,NM
39,1955,Hurricane,RI
40,1955,Flood,PA
41,1955,Hurricane,NJ
42,1955,Hurricane,CT
43,1955,Hurricane,MA
44,1955,Hurricane,SC
45,1955,Hurricane,NY
47,1956,Flood,CA
48,1956,Flood,NV
49,1956,Flood,OR
50,1956,Flood,WA
51,1956,Flood,PA
52,1956,Flood,NY
53,1956,Tornado,MI
54,1956,Tornado,OK
55,1956,Flood,ID
56,1956,Severe Storm(s),NC
58,1956,Severe Storm(s),PA
59,1956,Flood,CO
60,1956,Flood,OR
61,1956,Severe Storm(s),PA
62,1956,Hurricane,PR
63,1956,Flood,NV
64,1957,Hurricane,LA
65,1957,Fire,CA
66,1957,Flood,KY
67,1957,Flood,WV
68,1957,Flood,VA
69,1957,Flood,OR
70,1957,Flood,WA
72,1957,Hurricane,TX
73,1957,Hurricane,LA
74,1957,Flood,OK
75,1957,Tornado,MO
76,1957,Flood,ID
77,1957,Tornado,AR
78,1957,Flood,IL
79,1957,Tornado,ND
80,1957,Flood,MN
81,1957,Flood,KS
82,1958,Flood,CA
83,1958,Flood,AR
84,1958,Flood,LA
85,1958,Tornado,TX
86,1958,Flood,IA
87,1958,Hurricane,NC
88,1959,Flood,KS
89,1959,Flood,PA
90,1959,Flood,OH
91,1959,Flood,IN
92,1959,Flood,OK
93,1959,Flood,TX
94,1959,Hurricane,HI
95,1960,Flood,OK
98,1960,Flood,NE
99,1960,Flood,SD
100,1960,Flood,MO
102,1960,Tornado,AR
103,1960,Severe Storm(s),TX
104,1960,Severe Storm(s),OK
105,1960,Fire,ID
106,1960,Hurricane,FL
107,1960,Hurricane,NC
108,1961,Flood,MS
109,1961,Flood,AL
110,1961,Flood,GA
111,1961,Flood,IA
112,1961,Flood,AR
113,1961,Flood,IN
114,1961,Flood,MO
115,1961,Flood,IL
116,1961,Flood,ID
117,1961,Flood,WV
118,1961,Hurricane,TX
119,1962,Fire,CA
120,1962,Flood,ID
121,1962,Flood,NV
122,1962,Flood,CA
123,1962,Flood,VA
124,1962,Flood,NJ
125,1962,Flood,WV
126,1962,Flood,DE
127,1962,Flood,MD
128,1962,Flood,KY
129,1962,Flood,NY
130,1962,Flood,NC
131,1962,Flood,NE
132,1962,Flood,SD
133,1962,Flood,IA
134,1962,Flood,NE
136,1963,Severe Storm(s),OR
137,1963,Severe Storm(s),WA
138,1963,Flood,CA
140,1963,Typhoon,GU
141,1963,Flood,FL
142,1963,Flood,NV
143,1963,Flood,ID
144,1963,Flood,OR
145,1963,Flood,CA
146,1963,Flood,WA
147,1963,Flood,WV
148,1963,Flood,KY
149,1963,Flood,VA
150,1963,Flood,GA
151,1963,Flood,TN
152,1963,Flood,HI
153,1963,Typhoon,GU
154,1963,Typhoon,FM
155,1963,Flood,WY
156,1963,Flood,NE
157,1963,Flood,AR
158,1963,Flood,NY
159,1963,Hurricane,TX
160,1964,Drought,VT
162,1964,Flood,IN
163,1964,Flood,KY
164,1964,Flood,VT
165,1964,Flood,WV
166,1964,Flood,AR
167,1964,Flood,OH
170,1964,Drought,PR
171,1964,Drought,VI
172,1964,Flood,MT
173,1964,Flood,MO
174,1964,Flood,NE
175,1964,Hurricane,FL
176,1964,Hurricane,FL
177,1964,Hurricane,GA
178,1965,Hurricane,LA
179,1965,Flood,NC
180,1965,Flood,GA
181,1965,Typhoon,FM
182,1965,Snow,MT
183,1965,Flood,CA
184,1965,Flood,OR
185,1965,Flood,WA
186,1965,Flood,ID
187,1965,Flood,NV
188,1965,Flood,MN
189,1965,Tornado,IN
190,1965,Tornado,MI
191,1965,Tornado,OH
192,1965,Tornado,WI
193,1965,Flood,IA
194,1965,Tornado,IL
195,1965,Flood,ND
197,1965,Flood,SD
198,1965,Severe Storm(s),MO
199,1965,Tornado,TX
200,1965,Tornado,CO
201,1965,Flood,KS
202,1965,Flood,NM
203,1965,Flood,MO
204,1965,Drought,NY
205,1965,Drought,NJ
206,1965,Drought,PA
207,1965,Drought,DE
208,1965,Hurricane,LA
209,1965,Hurricane,FL
210,1965,Hurricane,MS
211,1966,Flood,CA
212,1966,Flood,CA
213,1966,Typhoon,AS
214,1966,Flood,GA
215,1966,Flood,MN
216,1966,Flood,ND
217,1966,Flood,AZ
218,1966,Flood,TX
219,1966,Tornado,KS
220,1966,Flood,ND
221,1966,Flood,NE
222,1966,Flood,TX
223,1967,Flood,CA
224,1967,Flood,WV
225,1967,Typhoon,PW
226,1967,Flood,KY
227,1967,Tornado,IL
228,1967,Flood,NE
229,1967,Tornado,KS
230,1967,Flood,AK
231,1967,Fire,ID
232,1967,Hurricane,TX
233,1968,Flood,NY
234,1968,Severe Ice Storm,NC
235,1968,Typhoon,PW
236,1968,Tornado,AR
237,1968,Tornado,KY
238,1968,Tornado,OH
239,1968,Tornado,AR
240,1968,Tornado,IA
241,1968,Flood,OK
242,1968,Tornado,IL
243,1968,Flood,OH
244,1968,Flood,TX
245,1968,Flood,NJ
246,1968,Flood,TX
247,1968,Flood,IN
248,1968,Flood,IA
249,1968,Flood,MN
250,1968,Flood,MN
251,1968,Flood,HI
252,1969,Hurricane,FL
253,1969,Flood,CA
254,1969,Flood,AR
255,1969,Flood,MN
256,1969,Flood,ND
257,1969,Flood,SD
258,1969,Flood,NV
259,1969,Flood,IA
260,1969,Flood,WI
261,1969,Flood,CO
262,1969,Flood,IL
263,1969,Flood,TN
264,1969,Flood,WI
265,1969,Flood,KY
266,1969,Tornado,OH
267,1969,Tornado,KS
268,1969,Flood,MN
269,1969,Flood,IA
270,1969,Flood,CA
271,1969,Hurricane,MS
272,1969,Hurricane,LA
273,1969,Flood,PA
274,1969,Hurricane,VA
275,1969,Flood,NY
276,1969,Flood,IL
277,1969,Flood,VT
278,1969,Hurricane,WV
279,1969,Flood,WV
280,1970,Hurricane,AL
281,1970,Severe Storm(s),AK
