1903,4,28,23,46,nan,TURKEY: MALAZGIRT,TURKEY
1903,5,13,6,34,6.0,VANUATU ISLANDS,VANUATU ISLANDS
1903,5,13,nan,nan,nan,ITALY: PALERMO,ITALY
1903,5,28,3,58,nan,"TURKEY: VARGINIS,CARDAHLI,MEHKEREK",TURKEY
1903,6,2,13,17,nan,ALASKA: SOUTHWEST,ALASKA
1903,7,16,nan,nan,nan,MEXICO: ACAPULCO,MEXICO
1903,7,28,4,nan,nan,ITALY: N,ITALY
1903,8,8,1,10,nan,COLOMBIA,COLOMBIA
1903,8,11,4,32,54.0,GREECE: MITATA (KYTHERA),GREECE
1903,9,7,nan,nan,nan,TAIWAN,TAIWAN
1903,9,25,1,20,nan,IRAN: KASHMAR,IRAN
1903,9,26,nan,nan,nan,CHILE: IQUIQUE,CHILE
1903,12,7,14,25,nan,"CHILE: VALLENAR, FREIRINA",CHILE
1903,12,28,2,56,nan,PHILIPPINES: DAVAO GULF,PHILIPPINES
1904,1,20,14,52,6.0,PANAMA-COLOMBIA,PANAMA-COLOMBIA
1904,3,18,13,42,nan,JAPAN: HOKKAIDO,JAPAN
1904,4,4,10,3,nan,BULGARIA: STRUMA,BULGARIA
1904,4,4,10,27,nan,BULGARIA: STRUMA,BULGARIA
1904,4,24,6,39,nan,TAIWAN: JIAYI,TAIWAN
1904,6,7,8,17,nan,JAPAN: SEA OF JAPAN,JAPAN
1904,6,25,14,45,36.0,RUSSIA: OFF KAMCHATKA,RUSSIA
1904,6,25,21,0,36.0,RUSSIA: OFF KAMCHATKA,RUSSIA
1904,6,27,0,9,nan,RUSSIA: OFF KAMCHATKA,RUSSIA
1904,8,8,22,51,nan,NEW ZEALAND: E OF NORTH ISLAND,NEW ZEALAND
1904,8,11,5,56,nan,"GREECE: SAMOS, PATMOS",GREECE
1904,8,24,20,59,nan,JAPAN: KYUSHU,JAPAN
1904,8,27,21,56,nan,ALASKA: RAMPART,ALASKA
1904,8,30,nan,nan,nan,CHINA: SICHUAN PROVINCE,CHINA
1904,9,7,nan,nan,nan,INDONESIA: S. JAVA,INDONESIA
1904,11,1,11,nan,nan,ECUADOR,ECUADOR
1904,11,5,20,25,nan,TAIWAN: JIAYI,TAIWAN
1904,12,20,5,44,18.0,PANAMA: BOCAS DEL TORO,PANAMA
1905,1,20,18,23,nan,COSTA RICA: PUNTARENAS,COSTA RICA
1905,1,22,2,43,54.0,INDONESIA: MINAHASSA PENINSULA,INDONESIA
1905,2,14,8,46,nan,ALASKA: ANDREANOF ISLANDS,ALASKA
1905,3,18,0,58,nan,KERMADEC ISLANDS,KERMADEC ISLANDS
1905,3,19,nan,nan,nan,VANUATU: MALO PASS,VANUATU
1905,4,4,0,50,nan,INDIA: KANGRA,INDIA
1905,4,15,nan,nan,nan,TURKEY,TURKEY
1905,4,25,nan,nan,nan,"IRAN: BANDAR ABBAS,QESHM,HENGAM",IRAN
1905,5,9,nan,nan,nan,MEXICO: JALISCO,MEXICO
1905,5,18,13,45,nan,PAPUA NEW GUINEA: BISMARCK SEA,PAPUA NEW GUINEA
1905,6,1,4,42,nan,ALBANIA: SHKODER,ALBANIA
1905,6,2,5,39,42.0,JAPAN: AKI,JAPAN
1905,6,30,17,7,nan,KIRIBATI: PHOENIX ISLANDS,KIRIBATI
1905,7,6,16,21,nan,JAPAN: OFF FUKUSHIMA,JAPAN
1905,7,9,9,40,24.0,MONGOLIA,MONGOLIA
1905,7,23,2,46,12.0,MONGOLIA,MONGOLIA
1905,8,26,14,45,nan,ITALY: CENTRAL,ITALY
1905,9,1,2,45,nan,JAPAN: HOKKAIDO,JAPAN
1905,9,8,1,43,11.0,"ITALY: MONTELEONE, TROPEA, MONTE PORO",ITALY
1905,9,15,6,2,nan,RUSSIA: KOMANDORSKY ISLAND,RUSSIA
1905,10,4,22,29,nan,RUSSIA: BLACK SEA,RUSSIA
1905,10,8,7,27,nan,BULGARIA,BULGARIA
1905,10,21,11,1,37.0,GEORGIA: CAUCASUS,GEORGIA
1905,11,8,3,27,nan,CHINA: SICHUAN PROVINCE,CHINA
1905,11,8,21,41,nan,GREECE: AEGEAN SEA,GREECE
1905,11,22,nan,nan,nan,VANUATU: PORT VILA,VANUATU
1905,11,24,nan,nan,nan,VANUATU: PORT VILA,VANUATU
1905,12,4,7,4,nan,"TURKEY: PUTURGE,CELIKHAN,RUMKALE",TURKEY
1905,12,8,8,22,nan,PHILIPPINES: W. LUZON ISLAND: TUBURAN,PHILIPPINES
1905,nan,nan,nan,nan,nan,SYRIA: RASUM-KALE (NEAR HALAB); LEBANON: BAYRONT,SYRIA
1905,nan,nan,nan,nan,nan,TUNISIA: BIZERTE,TUNISIA
1906,1,7,nan,nan,nan,CHINA: YUNNAN PROVINCE,CHINA
1906,1,21,13,49,35.0,JAPAN: NEAR S COAST HONSHU,JAPAN
1906,1,31,5,24,nan,VENEZUELA: CARACAS,VENEZUELA
1906,1,31,15,35,51.0,ECUADOR: OFF COAST,ECUADOR
1906,2,3,nan,nan,nan,COLOMBIA,COLOMBIA
1906,2,7,nan,nan,nan,COLOMBIA-ECUADOR,COLOMBIA-ECUADOR
1906,2,16,nan,nan,nan,SAINT LUCIA: CASTRIES,SAINT LUCIA
1906,2,21,nan,nan,nan,COLOMBIA: BUENAVENTURA,COLOMBIA
1906,3,1,17,45,nan,ALBANIA: ELBASAN,ALBANIA
1906,3,16,22,42,40.0,TAIWAN: JIAYI,TAIWAN
1906,3,28,nan,nan,nan,CHINA: FUJIAN PROVINCE,CHINA
1906,4,10,21,22,nan,MEXICO: REVILLA GIGEDO ISLANDS,MEXICO
1906,4,13,19,18,nan,TAIWAN: JIAYI,TAIWAN
1906,4,18,13,12,21.0,CALIFORNIA: SAN FRANCISCO,CALIFORNIA
1906,5,7,nan,nan,nan,CHILE: ARICA; PERU: TACNA,CHILE
1906,5,nan,nan,nan,nan,CHINA: YUNNAN PROVINCE,CHINA
1906,7,11,nan,nan,nan,COLOMBIA,COLOMBIA
1906,7,14,10,27,nan,COLOMBIA,COLOMBIA
1906,8,17,0,10,42.0,ALASKA: ALEUTIAN ISLANDS: RAT ISLANDS,ALASKA
1906,8,17,0,40,nan,CHILE: SOUTH CENTRAL,CHILE
1906,8,25,nan,nan,nan,ETHIOPIA: SHOA,ETHIOPIA
1906,9,14,16,4,18.0,PAPUA NEW GUINEA: NEW BRITAIN,PAPUA NEW GUINEA
1906,9,17,10,nan,nan,ITALY: SICILY,ITALY
1906,9,28,15,24,54.0,ECUADOR,ECUADOR
1906,10,2,1,50,nan,PAPUA NEW GUINEA: BISMARCK SEA,PAPUA NEW GUINEA
1906,11,19,7,18,nan,AUSTRALIA: WEST COAST,AUSTRALIA
1906,11,20,21,0,nan,"GHANA: HO, AKPAFU, PALIME, MISA, ACCRA; TOGO",GHANA
1906,12,3,22,59,nan,MARTINIQUE,MARTINIQUE
1906,12,22,18,21,nan,CHINA: XINJIANG PROVINCE,CHINA
1906,12,23,17,22,nan,ALASKA: ALEUTIAN ISLANDS,ALASKA
1906,12,26,6,53,28.0,PERU: OFF SOUTH COAST,PERU
1907,1,4,5,19,12.0,"INDONESIA: NW SUMATRA: GUNUNGSITOLi, BARUS",INDONESIA
1907,1,14,21,36,nan,JAMAICA: KINGSTON,JAMAICA
1907,2,21,1,nan,nan,ITALY: SICILY,ITALY
1907,2,23,20,17,nan,PERU,PERU
1907,3,29,20,46,30.0,INDONESIA: TALAUD ISLANDS: KARAKELONG ISLAND,INDONESIA
1907,4,15,6,8,6.0,MEXICO: GUERRERO,MEXICO
1907,4,18,20,59,48.0,PHILIPPINES: SE LUZON: CAMARINES,PHILIPPINES
